CompoundID,ChemOntID,ClassifiedResults
71300633,CHEMONTID:0000000,Kingdom: Organic compounds
71300633,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
71300633,CHEMONTID:0001455,Class: Tetrapyrroles and derivatives
71300633,CHEMONTID:0000353,Subclass: Corrinoids
71300633,CHEMONTID:0000352,Direct_parent: Cobalamin derivatives
71300633,CHEMONTID:0001926,alternative_parents: Metallotetrapyrroles
71300633,CHEMONTID:0000663,alternative_parents: Benzimidazole ribonucleosides and ribonucleotides
71300633,CHEMONTID:0002259,alternative_parents: Pentose phosphates
71300633,CHEMONTID:0002203,alternative_parents: Glycosylamines
71300633,CHEMONTID:0001541,alternative_parents: Monosaccharide phosphates
71300633,CHEMONTID:0000294,alternative_parents: Benzimidazoles
71300633,CHEMONTID:0001266,alternative_parents: Phosphoethanolamines
71300633,CHEMONTID:0003459,alternative_parents: Dialkyl phosphates
71300633,CHEMONTID:0002448,alternative_parents: Benzenoids
71300633,CHEMONTID:0000331,alternative_parents: Fatty amides
71300633,CHEMONTID:0002311,alternative_parents: N-substituted imidazoles
71300633,CHEMONTID:0001967,alternative_parents: Oxolanes
71300633,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
71300633,CHEMONTID:0000091,alternative_parents: Pyrrolines
71300633,CHEMONTID:0000218,alternative_parents: Pyrrolidines
71300633,CHEMONTID:0001302,alternative_parents: Organic phosphonic acids
71300633,CHEMONTID:0001662,alternative_parents: Primary carboxylic acid amides
71300633,CHEMONTID:0001663,alternative_parents: Secondary carboxylic acid amides
71300633,CHEMONTID:0001661,alternative_parents: Secondary alcohols
71300633,CHEMONTID:0001673,alternative_parents: Ketimines
71300633,CHEMONTID:0004140,alternative_parents: Oxacyclic compounds
71300633,CHEMONTID:0004064,alternative_parents: Transition metal cyanide salts
71300633,CHEMONTID:0003633,"alternative_parents: Propargyl-type 1,3-dipolar organic compounds"
71300633,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
71300633,CHEMONTID:0004026,alternative_parents: Cyanide salts
71300633,CHEMONTID:0003632,"alternative_parents: Carbene-type 1,3-dipolar compounds"
71300633,CHEMONTID:0000286,alternative_parents: Primary alcohols
71300633,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
71300633,NotAvailable,alternative_parents: ''
71300633,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
71300633,CHEMONTID:0000400,alternative_parents: Organophosphorus compounds
71300633,CHEMONTID:0003610,alternative_parents: Organic zwitterions
71300633,CHEMONTID:0003940,alternative_parents: Organic oxides
71300633,CHEMONTID:0003995,alternative_parents: Organic cobalt salts
71300633,NotAvailable,"Substituents: [""Cobalamin"", ""Metallotetrapyrrole skeleton"", ""1-ribofuranosylbenzimidazole"", ""Pentose phosphate"", ""Glycosyl compound"", ""N-glycosyl compound"", ""Pentose monosaccharide"", ""Monosaccharide phosphate"", ""Benzimidazole"", ""Phosphoethanolamine"", ""Dialkyl phosphate"", ""Monosaccharide"", ""Fatty acyl"", ""N-substituted imidazole"", ""Organic phosphoric acid derivative"", ""Benzenoid"", ""Fatty amide"", ""Alkyl phosphate"", ""Phosphoric acid ester"", ""Organophosphonic acid"", ""Organophosphonic acid derivative"", ""Oxolane"", ""Azole"", ""Heteroaromatic compound"", ""Pyrroline"", ""Pyrrolidine"", ""Imidazole"", ""Carboxamide group"", ""Ketimine"", ""Secondary carboxylic acid amide"", ""Secondary alcohol"", ""Primary carboxylic acid amide"", ""Propargyl-type 1,3-dipolar organic compound"", ""Carboxylic acid derivative"", ""Oxacycle"", ""Azacycle"", ""Carbene-type 1,3-dipolar compound"", ""Organic 1,3-dipolar compound"", ""Transition metal cyanide salt"", ""Organic cyanide salt"", ""Organic transition metal salt"", ""Primary alcohol"", ""Organic cobalt salt"", ""Organic oxygen compound"", ""Imine"", ""Organic salt"", ""Alcohol"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Organic nitrogen compound"", ""Organophosphorus compound"", ""Cyanide"", ""Organic zwitterion"", ""Organic oxide"", ""Hydrocarbon derivative"", ""Carbonyl group"", ""Aromatic heteropolycyclic compound""]"
71300633,NotAvailable,External_descriptors: []
